"CODIGO";"CODIGO INTERNO";"TIPO";"SUB DESCRICAO";"FABRICANTE";"MARCA";"SEGMENTO";"OBS";"OBS COMPLEMENTAR";"NCM";"MINIMO";"MAXIMO";"PRECO ENTRADA";"PRECO CUSTO";"PRECO MEDIO";"PRECO VENDA";"PRECO PESQUISA";"MARKUP";"COEFICIENTE MARKUP";"QTD";"QTD MULTIPLA COMPRA";"QTD MULTIPLA VENDA";"QTD MULTIPLA APLICACAO";"ATACADO";"VAREJO";"SITUACAO";"ANTIGO";"COR";"LADO";"POSICAO";"LOCALIZACAO";"EXTREMIDADE";"USO";"IMAGEM";"GTIN";"GTIN-14";"MEDIDA";"PRAZO GARANTIA";"OBS GARANTIA";"GRUPO ITEM";"SUB GRUPO ITEM";"FORNECEDOR REFERENCIAL";"UN";"REFERENCIA";"CST/ICMS";"PRECO PROMOCAO";"SEGMENTO";"COD.IMPORTACAO XML";"BASE CALCULO ICMS RET";"% ICMS RET";"ICMS RET";"ICMS SUBSTITUTO";"PIS/COFINS";"CHAVE NFE";"RANKING CURVA ABC GERAL ITEM";"CURVA ABC GERAL ITEM";"VALOR CURVA ABC GERAL ITEM";"REGISTRO ABC GERAL ITEM";"CODIGO CURVA ABC FORNECEDOR";"VALOR CURVA ABC FORNECEDOR";"REGISTRO CURVA ABC FORNECEDOR";"UF CURVA ABC FORNECEDOR";
"46479";"";"VELA";"AQUECEDORA";"=""PA.SP-22""";"PARALELO";"";"ENDURA";"";"8511.1000";"4,00";"6,00";"0,00";"0,00";"0,00";"0,00";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""PA.SP-22""";"";"";"";"=""106-B-04""";"";"";"F";"=""SP-22""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46480";"";"VELA";"AQUECEDORA";"=""VATK22""";"TAKAO";"";"Equip. Thermoking D201 - 2.2L 8V Thermoking Diesel";"";"8409.9114";"0,00";"0,00";"0,00";"79,72";"0,00";"143,49";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""VATK22 STD""";"";"";"";"=""""";"";"";"F";"=""7899747841358""";"=""""";" STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46481";"";"VELA";"AQUECEDORA";"=""MC301""";"MANDO MACHINERY";"";"GM 2.0 TRACKER";"";"8511.8010";"1,00";"3,00";"0,00";"10,71";"10,71";"19,28";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""MC301""";"";"";"";"=""213-C-04""";"";"";"F";"=""7899526577706""";"=""""";"STD";"";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46482";"";"VELA";"AQUECEDORA";"=""34160""";"MWM";"";"INT 6340";"";"8482.1090";"1,00";"3,00";"0,00";"12,00";"12,00";"21,60";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""34160""";"";"";"";"=""""";"";"";"F";"=""34160""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
"46483";"";"VELA";"AQUECEDORA";"=""70998052""";"MWM";"";"INT TODOS";"";"8511.8010";"1,00";"3,00";"0,00";"69,28";"69,28";"134,41";"0,00";"80%";"1,8000";"2";"0,00";"1,00";"0,00";"F";"F";"";"=""70998052""";"";"";"";"=""203-A-01""";"";"";"F";"=""7895825060666""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46484";"";"VELA";"AQUECEDORA";"=""OK05418140""";"MANDO MACHINERY";"";"KIA 2.0/TDI SPORTAGE (25188)";"";"8482.1090";"1,00";"3,00";"0,00";"36,00";"36,00";"64,80";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""OK05418140""";"";"";"";"=""213-C-04""";"";"";"F";"=""7899526541103""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
"46485";"";"VELA";"AQUECEDORA";"=""OK71018140A""";"MANDO MACHINERY";"";"KIA 2.2 BESTA";"";"8484.9000";"1,00";"3,00";"0,00";"4,35";"4,35";"7,83";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""OK71018140A""";"";"";"";"=""213-C-04""";"";"";"F";"=""OK71018140A""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"f";"=""""";"";"";"";"";"";"";"";"";
"46486";"";"VELA";"AQUECEDORA";"=""OK75A18140""";"MANDO MACHINERY";"";"KIA BESTA 3.0 GS";"";"8483.1090";"1,00";"3,00";"0,00";"4,19";"5,43";"9,77";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""OK75A18140""";"";"";"";"=""213-C-04""";"";"";"F";"=""OK75A18140""";"=""""";"STD";"0";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46487";"";"VELA";"AQUECEDORA";"=""74192E""";"MWM";"";"MAXION 2.5 2.8 8V HS 4.07TCA S10 SPRINTER (C9791)(ETC8847)";"";"8511.8010";"1,00";"3,00";"61,72";"61,73";"61,72";"111,11";"0,00";"80%";"1,8000";"1";"0,00";"1,00";"0,00";"F";"F";"";"=""74192E""";"";"";"";"=""203-C-05""";"";"";"F";"=""7895825082972""";"=""""";"STD";"";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
"46488";"";"VELA";"AQUECEDORA";"=""C9791""";"TARANTO";"";"MAXION 2.5 2.8 8V HS 4.07TCA S10 SPRINTER (C9791)(ETC8847)";"(M10 PASSO 1,0MM)";"8511.8010";"1,00";"3,00";"0,00";"30,83";"0,00";"55,50";"0,00";"80%";"1,8000";"0";"0,00";"1,00";"0,00";"F";"F";"";"=""C9791""";"";"";"";"=""""";"";"";"T";"=""7793960763100""";"=""""";"STD";"";"";"";".";"";"PC";"";"60-ICMS ANTEC.S.TRIB";"0,00";"";"";"0.00";"0.00";"0.00";"0.00";"t";"=""""";"";"";"";"";"";"";"";"";
